,0
136,- - 이거는 다 봄 옷이다 그죠?
138,- - 이거는 스판이고요?
140,- - 이거는 겨울 거죠?
142,- - 손님 66 입으세요? 55 입으세요?
143,- - 어떤 사이즈가 맞을까요?
145,- - 얼마인데요?
147,- - 한 번 입어볼게요
149,- - 조금 더 큰 거 없어요?
151,- - 이거랑 같이 신을 신발은 뭐 있어요?
153,- - 신발 35사이즈 신으세요?
155,- - 이런 거는 얼마예요?
157,- - 이거는 얼마인데요?
159,- - 이거는 세탁은 어떻게 해요?
161,- - 3만 원에 주시면 안 되나요?
163,- - 그거 담아드려요?
165,- - 이 제품은 할인 상품이기 때문에 현금으로 계산해 주세요
167,- - 그럼 이번만 카드로 계산해드릴게요
169,- - 이거 원래 얼마예요?
171,- - 니트 3만 8천 원이면 여기서 10% dc 된다 그죠?
173,- - 이런 거는 어떻게 관리해요?
175,- - 이런 종류 좋아하는데 어떤 게 잘 나가요?
177,- - 이거는 무슨 면인가요?
179,- - 색상은 이것뿐이에요?
181,- - 이런 꽃무늬는 어떠세요?
182,- - 이런거 얼마에요?
184,- - 세일 제품은 이건 가요?
186,- - 현금으로 사면 또 싸게 돼요?
188,- - 여기 근처에 현금지급기 있어요?
190,- - 여기 몇 시까지 해요?
192,- - 보통 몇 시부터 문 열고요?
194,- - 쉬는 날 있어요?
196,- - 어떤 게 잘 나가요?
198,- - 티 중에 저한테 어울릴 거 추천 좀 해주세요
199,- - 어떤 스타일 찾으세요?
201,- - 아기자기한 거면 이런 거 어떠세요?
203,- - 저 목티는 코랄 색인가요?
205,- - 저거 색상은 이거 한 개뿐이에요?
207,- - 가격이 얼마예요?
209,- - 왜 이렇게 싸요?
211,- - 이거 한 번 입어볼 수 있나요?
213,- - 조금 작아 보이네요 다른 사이즈 있나요?
215,- - 목티 좀 두꺼운 거 젊은 스타일 없어요?
217,"- - 이런 보라색, 고동색은 가격대는 얼마 해요?"
219,- - 아주 얇은 봄 옷도 있기는 있네요?
221,- - 봄 신상은 가격대가 어떻게 돼요?
223,- - 여기는 몇 시까지 문 열어요?
225,- - 몇 시부터?
227,- - 쉬는 날 있어요?
229,- - 티 종류 조금 얇은 거 있나요?
230,- - 반팔 티 찾으시는 건가요?
232,- - 긴 팔로 찾으세요?
234,- - 주로 어떤 게 잘 나가요?
236,- - 색상이 이거 한 가지인가요?
238,- - 이건 가격이 얼마예요?
240,- - 이 티셔츠는 어떤 바지랑 어울려요?
242,- - 티셔츠는 못 입어보죠?
244,- - 적립되는 카드나 할인되는 카드가 있나요?
246,- - 현금으로 구입하면 더 저렴한가요?
248,- - 세일 상품 코너는 어디에요?
250,- - 조금 둘러볼게요
252,- - 이 마이는 이 색상 하나뿐이죠?
254,- - 이거는 지금 이 가격에서 할인이 되는 거예요?
256,- - 사이즈는 원 사이즈죠?
258,- - 여기 쉬는 날이 있어요?
260,- - 밖에 디스플레이 돼 있는 주황색 좀 두꺼운 거 얼마인가요?
262,- - 현금가?
264,- - 더 싸게는 안돼요? 2만 5천 원?
266,- - 저거는 색상이 몇 개?
268,- - 세일 품목은 저 위에 있는 거예요?
270,- - 이거는 뭐랑 입으면 잘 어울려요?
272,- - 사이즈도 원 사이즈죠?
274,- - 여기 근처에 현금지급기 있어요?
276,- - 밖에 있는 거랑 이거랑은 디자인 좀 비슷한 건가요?
278,- - 가격은 비슷해요?
280,- - 이 돕바는 얼마예요?
282,- - 드라이해줘야 되는 거죠? 물세탁은 전혀 안되죠?
284,- - 이거는 얼마예요?
286,- - 몇 시까지 문 열어나예?
288,- - 몇 시부터요?
290,- - 일요일 날은 열어놔요?
292,- - 티 얼마예요?
294,- - 색상은 이거 하나밖에 없어요?
296,- - 이거랑 비슷한 디자인 있어요?
298,- - 이거는 어떤 거랑 어울려요?
300,- - 흰 조끼 저거는 얼마예요?
302,- - 소재가 뭐예요?
304,- - 세탁은 어떻게 해요?
306,- - 이거 검은색 없어요?
308,- - 몇 시에 닫아요?
310,- - 일요일은 열어요?
312,- - 아침에는 몇 시에 문 여는데요?
314,- - 여기 걸려있는 거는 다 세일 제품이에요?
316,- - 티 종류는 이쪽에 있는 거예요?
318,- - 잘 나가는 제품은 있나요?
320,- - 여기 붙어있는 가격에 30% 하는 거예요?
322,- - 이거는 할인해요?
324,- - 이게 사이즈가 다 작죠?
326,- - 색상이 아이보리하고 빨간색?
328,- - 이게 브랜드예요?
330,- - 사이즈가 한 종류예요?
332,- - 여기 세일 기간은 언제까지 해요?
334,- - 다 팔리면 다시 또 오는 거 아니에요?
336,- - 이거는 가격이 얼마예요?
338,- - 따로 사고 싶은데 따로는 구입이 안돼요?
340,- - 재질이 뭐예요?
342,- - 하늘하늘한 원피스 나왔어요?
344,- - 색상이 하나예요?
346,- - 현금으로 사면 좀 싸게 되나요?
348,- - 할인되는 카드 없고?
350,- - 여기 문 연지는 오래됐어요?
352,- - 몇 시부터 몇 시까지 문 열어요?
354,- - 토요일 일요일은?
356,- - 신발은 230은 따로 없죠?
358,- - 이거는 소재가 벨벳 같은데요?
360,- - 이거는 얼마예요?
362,- - 원 사이즈로 나오죠?
364,- - 이거 초록색 티 얼마 해요?
366,- - 이거는 색상이 뭐 있어요?
368,- - 누구 선물하시게요?
370,- - 체격 크세요?
372,- - 이거는 가격이 얼마예요?
374,- - 좀 잘 나가는 거 없어요?
376,- - 이거 가격 얼마예요?
378,- - 조끼 종류는 어떤 게 있어요?
380,- - 이거는 가격 얼마예요?
382,- - 이런 거는 색상이 이것뿐이에요?
384,- - 바지가 얼마예요?
386,- - 현금으로 사면 싸게 해주나요?
388,- - 내일은 영업해요?
390,- - 이 바지도 가격이 똑같아요?
392,- - 오늘 몇 시까지 열고 계시는데요?
394,- - 이거 검은 티 얼마예요?
396,- - 색상은 다른 거 없어요?
398,- - 소재가 뭐예요? 밍크예요?
400,- - 페이크 퍼도 따뜻하죠?
402,- - 티셔츠 종류 여기 있는 게 다죠?
404,- - 사이즈가 작은 것 같은데
406,- - 얇은 티는 아직 안 나왔나요?
408,- - 소재는 뭐예요?
410,- - 색깔은 이거 하나?
412,- - 이거는 가격이 얼마예요?
414,- - 헌금으로 사도 마찬가지예요?
416,- - 세탁은 물세탁 해요?
418,- - 연세 드신 분 입으시는 내의 있나요?
420,- - 가격대는 얼마 정도에 살 수 있어요?
421,- - 사이즈 몇 짜리 보시는데요?
423,- - 이게 신축성이 있어서 괜찮을 것 같아요
426,- - 색상은 검은색뿐이에요?
428,- - 보라색 이거는 얼마예요?
430,- - 사이즈 작으면 바꾸러 와도 되나요?
432,- - 이거 보라색밖에 없어요?
434,- - 저 핑크색 원피스 실내복은 얼마예요?
436,- - 색상은 이거와 연한 핑크 두 가지예요??
438,- - 따뜻한 여성용 내의도 하나요?
439,- - 기모도 돼 있는 거 찾으시는 거예요?
441,- - 몇 호 입으시는데요?
444,- - 내의 105 사이즈는 안 나와예?
446,- - 발열 내의 이거는 100도 큰데 어떠세요?
447,- - 색상은 이거 검은색뿐이에요?
449,- - 이 땡땡이는 얼마예요?
451,- - 이거는 윗도리 하나예요 아니면 세트인가요?
453,- - 요거는 엑스라지 없어요?
455,- - 색상도 한 종류밖에 없죠?
457,- - 덩치가 많이 큰데 큰 건 없죠?
459,- - 티셔츠 조금 얇은 거는 어디에 있어요?
461,- - 여기 오픈한 지가 얼마 안 됐어요?
463,- - 이 물건은 어디서 오는 거예요?
465,- - 아이보리색 티는 얼마예요?
467,- - 요거는 색상 다른 거 없나요?
469,- - 쫄바지 고무 바지로 된 거는 있어예?
471,- - 이 바지는 얼마예요?
473,- - 여기는 문을 몇 시부터 몇 시까지 열어예?
475,- - 일요일 날은 해예?
477,- - 여고생이 입을 수 있는 면 티셔츠 종류 있어요?
479,- - 남녀 공용인가 보네요?
481,- - 순면인가요?
483,- - 사이즈가 어떻게 나와요 95 90 이렇게 나와요?
485,- - 크게 나오네요?
487,- - 가격이 얼마 정도 돼요?
489,- - 롱 원피스 여기에 있는 거 다 맞죠?
491,- - 이거는 봄 신상품 아니에요?
493,- - 어디 저쪽이에요?
495,- - 나이 든 사람이 입어도 돼요?
497,- - 리본 달린 면이 앞인가요?
499,- - 허리 조이는 건 없네?
501,- - 어떤 스타일이 많이 나갔어요?
503,- - 카디건이랑 입는 게 낫다 그죠?
505,- - 이 안에 바지도 입을 수 있죠?
507,- - 거울에 한 번 비춰봐도 돼요?
509,- - 이거 많이 파여 있죠?
511,- - 안에 비치지는 않나요?
513,- - 지금 세일해서 얼마인가요?
515,- - 한 여름 되기 전까지 입어도 되겠네요?
517,- - 이쁘긴 한데 가격대가 조금 비싸요
519,- - 남자들 거 트렌치코트 종류 있어요?
521,- - 이게 신상품이에요?
523,- - 키가 72인데 이거는 길이가 어느 정도 와요?
525,- - 네이비 색상인가요?
527,- - 스판이 조금 안되는 거 같네요?
529,- - 키가 72에 몸무게 한 60이면 어느 정도 입어요?
531,- - 지금 세일 기간인가요?
533,- - 신상품이라서 할인 안 되나요?
535,- - 사가지고 반품이나 교환이 되나요?
537,- - 이게 나이 대가 어떻게 입어요?
539,- - 50대는 입기 좀 그렇겠죠?
541,- - 이거 20살 여학생 입을 수 있어요?
543,- - 신상 예쁜 거 있어요?
545,- - 이거는 좀 두꺼워 보이는데요?
547,- - 옷이 조금 무거운 것 같은데
549,- - 밝은 색상보다는 이게 나은가요?
551,- - 이게 지금 인기가 있나 보네요?
553,- - 관리는 어떻게 해야 돼요?
555,- - 구김이나 활동성은 어떤가요?
557,- - 소매 길이 수선 같은 거는 여기서 해주나요?
559,- - 여학생들도 많이 입나요?
561,- - 원피스 종류 있어요?
563,- - 이거 신상인가 보다 그죠?
565,- - 완전 흰색은 아니다 그죠?
567,- - 이게 지금 입으신 거랑 천이 똑같은 건가요?
569,- - 이거 밑에는 청바지 같은 거 입어도 되고 롱치마 입어도 되겠죠?
571,- - 안에 옷이 비치고 이런 건 아닌가요?
573,- - 이거는 얼마 정도 해요?
575,- - 원피스 종류 있어요?
577,- - 이건 날씬해야지 입을 수 있겠죠?
579,- - 이거 앞에 좀 많이 파인 거 아닌가요?
581,- - 이게 구김은 없는 편인가요?
583,- - 길이는 어느 정도 돼요?
585,- - 이거 완전 초여름이 될 때까지 입어도 되겠네요?
587,- - 결제는 카드 다 돼요?
589,- - 이거는 얼마 정도 해요?
591,- - 이거는 앞뒤 길이가 다르네요 그죠?
593,- - 반품 같은 거는 되나요?
595,- - 색상이 다른 것도 있나요?
597,- - 이거 비침 있나요?
599,- - 지금 다 신상으로 나온 거다 그죠?
601,- - 여기 몇 시까지 해요?
603,- - 이거 원피스인가요?
605,- - 블루 색상에 가깝네요 그죠?
607,- - 구김은 없겠다 그죠?
609,- - 허리 졸임은 없다 그죠?
611,- - 시폰인가요?
613,- - 팔 말고 다른 곳은 안 비친다 그죠?
615,- - 거울 한 번 비춰 봐볼게요
617,- - 길이는 무릎 아래 여기 종아리까지 오네요?
619,- - 안에 청바지도 입어도 되고요?
621,- - 목폴라도 같이 입어요?
623,- - 분홍색 티셔츠는 지금 얼마예요?
625,- - 카드는 하면 얼만데요?
627,- - 티셔츠는 못 입어 보죠?
629,- - 이거 길이는 어느 정도 와요? 뒤에 길이가 조금 틀리고 언밸런스한데요?
631,- - 소재가 면이에요?
633,- - 밖에 있는 아이보리 저거는 어떻게 입는 건가요?
635,- - 소매는 어디까지 오는 가요? 5부인가요?
637,- - 저거는 면 종류인가 봐요?
639,- - 약간 아이보리 빛이다 그죠?
641,- - 저거 얼마예요?
643,- - 현금했을 때 8만 원인가요?
645,- - 디피돼 있는 검은색요 요거 가죽이에요?
647,- - 봄에 나오는 신상인가요?
649,- - 비싸겠네요 저거?
651,- - 이것도 가죽인가요?
653,- - 현금이랑 카드랑 가격 똑같아요?
655,- - 요것도 가격 비슷해요?
657,- - 이거는 지금부터 입을 수 있는 거다 그죠?
659,- - 봄 옷 나왔나요?
661,- - 그럼 겨울 옷은?
663,- - 뭐 찾으시는데요?
665,- - 이거는 내한테 좀 크지 않을까요?
667,- - 저 재킷 이쁜데 어떠세요?
668,- - 이거는 어디 카피 같은데?
670,- - 이거는 사이즈가 어떻게 돼요?
672,- - 한 번 입어나 볼까?
674,- - 이 카디건은 어떻게 해요?
676,- - 요것도 겨울 세일하나요?
678,- - 이거는 브랜드 있어요?
680,- - 니트 원피스 사이즈가 어떻게 돼요?
682,- - 팔이 길게 나온건가요?
684,- - 어깨가 커 보이는데
686,- - 밑에는 레깅스나
688,- - 소재가 뭐예요?
690,- - 드라이클리닝 해야하나요?
692,- - 가격이 얼마예요?
694,- - 가격이 쎄네요
696,- - 이거는 무슨 모피예요?
698,- - 이것도 모피예요?
700,- - 이거 코트는 모 직포?
702,- - 이거는 겨울 조금 지나고 입어요?
704,- - 이거는 뭐예요?
706,- - 이거 뭐 카피더라?
708,- - 이거는 얼마예요?
710,- - 봄 옷 스키니 같은 거 어떤 거 있는지?
712,- - 다 세일하고요?
714,- - 부츠컷 바지 같은 경우에는 가격이 얼마 정도 해요?
716,- - 사이즈가 어떻게 돼요?
718,- - 소재가 뭐예요?
720,- - 이런 거는 얼마 해요?
722,- - 현금가에요?
724,- - 재질이 뭐예요?
726,- - 노란 거 이거는 봄 옷이다 그죠?
728,- - 이거는 원피스예요?
730,- - 빨간 원피스 이런 거는 얼마 해요?
732,- - 삼디기 메이커 그거예요?
734,- - 여기는 제일 작은 사이즈가?
736,- - 꽃무늬 잠바는 얼마씩 한대요?
738,- - 요 색깔하고 뭐 있어요?
740,- - 요거는 뭐예요 털 달린 거?
742,- - 이게 무슨 털이에요?
744,- - 폭스 엄청 비싸겠네요?
746,- - 옆에 있는 건 가죽이고?
748,- - 겨울 다 지났는데 세일 안 했나?
750,- - 수면 잠옷 같은 건 없나요?
752,- - 저런 건 얼마예요?
754,- - 바지만 사면 얼마예요?
756,- - 이거는 봄 옷이다 그죠?
758,- - 수면 바지는 사이즈 없나요?
760,- - 이거 계산 좀 해주세요
762,- - 현금해야 되죠?
764,- - 스카프는 얼마씩 해요?
766,- - 이 정장 사이즈 어떻게 되나요?
767,- - 손님 사이즈가 어떻게 되세요?
769,- - 화려한 정장이 필요해가
771,- - 한 번 입어보세요
773,- - 가격은 어떻게 하는 거예요?
775,- - 한 번 입어 볼게요
777,- - 허리는 얼마 정도예요?
779,- - 저거하고 이 바지랑 비슷한 거예요?
781,- - 바지도 약간 나팔이다 그죠?
783,- - 길이는 요새 이렇게 짧게 입나요?
785,- - 이거는 얼마 정도 해요?
787,- - 소재는 뭐죠?
789,- - 당연히 드라이 해야돼지요?
791,- - 이거는 더블 재킷이죠?
793,- - 빨간 코트 이거 재질이 뭐예요?
795,- - 이거 구찌네요?
797,- - 이런 거는 얼마예요?
799,- - 하얀 점퍼 봄에 입어도 되겠다 그러지 예?
801,- - 이거는 가격이 어떻게 돼요?
803,- - 패딩 안에 솜이에요?
805,- - 밑에 레깅스 입고 이거 입고?
807,- - 이건 무슨 옷이에요?
809,- - 이런 것도 겨울 거?
811,- - 원래는 얼마 정도예요 이거?
813,- - 블라우스 찾아요
815,- - 이건 면이예요?
817,- - 이거 사이즈 큰 거는 없나요?
819,- - 이런 하얀 거는 어떠세요?
821,- - 이거는 파란색 말고 또 뭐 있어요?
823,- - 이거는 가격이 어떻게 돼요?
825,- - 소재가 뭐예요?
827,- - 한 번 입어보자
829,- - 어디서 입어요?
831,- - 이거 입어 보실거예요?
833,- - 인디언 핑크와 조끼 한 번 입어보세요
835,- - 이거 하나 포장해주세요
837,- - 계산 좀 해주세요
839,- - 교환은 안되죠?
841,- - 여기는 5% 할인 안되는 거죠?
843,- - 어디서 입으실 거 찾으세요?
845,- - 몇 사이즈 입으시는데요?
847,- - 66 있죠?
849,- - 77로 한 번 입어볼게요
851,- - 검은색 저런 거는 얼마씩이에요?
853,- - 원피스죠 투피스인가요?
855,- - 신축성 있게 쭉 늘어나는 건 없어요?
857,- - 위에 마이 하나 걸치고 입으면 예쁘겠죠?
859,- - 원피스 좀 저렴한 거 없어요?
860,- - 누가 입으실건데요?
862,- - 사이즈가 몇 이예요??
865,- - 여기는 몇 시까지 열어놔요?
867,- - 신축성 있게 쭉 늘어나는 거예요?
869,- - 까만색 버클 달린 거는 얼마고 체크 원피스 얼마예요 가격이?
871,- - 카드도 돼요?
873,- - 현금으로 하면 좀 안 깎아줘요?
875,- - 현금으로 하면 이게 얼마쯤?
877,- - 이거 스웨터는 얼마해요?
879,- - 이거는 조끼잖아?
881,- - 조끼 되게 비싸네
883,- - 천 이름이 뭔데예?
885,- - 이것도 가격은 똑같아요?
887,- - 조끼랑 세트로 파는 거예요?
889,- - 조끼도 사이즈가 있나요?
891,- - 입어봐도 돼요?
893,- - 이게 회색이에요?
895,- - 요거 사이즈가 어떻게 돼요?
897,- - 요 사이즈밖에 없어요?
899,- - 이게 원피스인가요?
901,- - 조끼 원피스 같은 그런 건가 봐요?
903,- - 이건 2만 원이에요?
905,- - 사이즈 프리예요?
907,- - 이 면 티는 얼마인데요?
909,- - 따뜻할까요?
911,- - 이건 사이즈 몇 가지 있어요?
913,- - 이거는 남방이에요?
915,- - 이건 사이즈가 없나요?
917,- - 한 번 입어보세요
919,- - 누가 입으실건데요?
921,- - 딸이 많이 왜소하신 거예요?
923,- - 키는요?
925,- - 이거 6만 9900원이에요?
927,- - 세일 안 하고?
929,- - 안 사도 한 번 입어봐도 되죠?
931,- - 너무 큰 거 아니에요?
933,- - 이거는 세일해서 얼마예요?
935,- - 이거는 뭐예요 소재가?
937,- - 안에는 뻑뻑한데 뻐득뻐득하네요
939,- - 이게 사이즈가 있어요?
941,- - 이 털 빠지고 그러진 않나요?
943,- - 드라이해야 되죠?
945,- - 이건 얼마인데요?
947,- - 현금으로 하면 더 할인 해주나요?
949,- - 색깔은 연보라 밖에 없어요?
951,- - 이게 무스탕이라서 좀 많이 무겁네요?
953,- - 면 티는 얼마씩 해요?
955,- - 비침이 있어요?
957,- - 이거는 사이즈가 따로 안 나오겠는데요?
959,- - 이건 패딩이예요?
961,- - 가격은요?
963,- - 좀 비싸네요
965,- - 색상은 이 색상밖에 없어예?
967,- - 되게 커 보이는데요 사이즈가 뭐예요?
969,- - 이거는 얼마예요?
971,- - 그 남방은 얼마예요?
973,- - 개인적으로 이것도 예쁜데 어떠세요?
974,- - 그거는 원피스 아니에요?
976,- - 남방은 면 종류인가 봐요?
978,- - 세탁은 막 해도 되나?
980,- - 이거 조끼하고 바지는 한 벌이에요?
982,- - 따로 사도 되고?
984,- - 이런 조끼 말고 안에는 뭐 입어야 되겠어요?
986,- - 이게 다 손으로 누비신 거예요?
988,- - 얼마 정도 하는데요?
990,- - 이 조끼가 겨울용으로 나온 거예요?
992,- - 이거 소재가 뭐예요?
994,- - 면인데 구김이 잘 가네?
996,- - 바지는 얼마인데요?
998,- - 수입품이에요?
1000,- - 코트에 그림도 손으로 직접 그린 건가요? 프린트한 건가요?
1002,- - 가격이 어떻게 하는데요?
1004,- - 이게 파카 스타일인가요?
1006,- - 이 스웨터도 수입이에요?
1008,- - 이 스웨터는 얼마 하는데요?
1010,- - 스웨터 천이 앙고라예요?
1012,- - 세탁은 마음대로 할 수 있어요? 세탁기에?
1014,- - 까끌까끌하지 않을까?
1016,- - 이것도 사이즈가 있나요?
1018,- - 입어 봐도 될까요?
1020,- - 카키도 있고 두 가지 색상이에요?
1022,- - 한 번 입어볼까?
1024,- - 이거는 카키색이가?
1026,- - 이거는 사이즈가 몇 인데요?
1028,- - 예쁜데 팔은 너무 긴 거 아니에요?
1030,- - 이거는 소재가 뭔데요?
1032,- - 이거 세탁은 세탁기 막 돌려도 돼요?
1034,- - 이게 수입품 옷이에요?
1036,- - 이거는 얼마인데요?
1038,- - 현금이 없는데 현금으로 드려야하죠?
1040,- - 카드 하면 얼마인데요?
1042,- - 꽃무늬 원피스는 벌써 나왔어요?
1044,- - 이거 사이즈가 있어요?
1046,- - 이거는 프리사이즈로 나오는 거죠?
1048,- - 색상은 이거 한 색상이에요?
1050,- - 가슴 있는 쪽이 좀 많이 벌어졌네?
1052,- - 안에 속치마는 다 있죠?
1054,- - 얼마죠?
1056,- - 이거 모직 코트예요?
1058,- - 사이즈가 어떻게 되는데요?
1060,- - 색상은요?
1062,- - 모직이면 드라이해줘야 되겠네?
1064,- - 입어나 볼까요?
1066,- - 이 모직 코트는 지금 입을라 카면 조금 춥겠는데요?
1068,- - 이거는 여기 밖에 단추가 없나요?
1070,- - 얼마예요?
1072,- - 이거는 모라서 좀 뻑뻑하게 들어간다 그죠?
1074,- - 이거는 앙고라 치마예요?
1076,- - 단추 다 열려요?
1078,- - 이게 소재가 정확하게 뭐죠?
1080,- - 가격은요?
1082,- - 사이즈는?
1084,- - 이거 치마 이거 입고 신발은 뭐 신어야 되나?
1086,- - 울이 들어가 있어서 정전기 많이 일지 않나요?
1088,- - 세탁은 어떻게?
1090,- - 카드 결제돼요?
1092,- - 남자애들 옷도 있나요?
1094,- - 이게 남자 건지 여자 건지 헷갈려서요
1095,- - 나이대가 어떻게 되세요?
1097,- - 체격은 어때요?
1099,- - 남자애들 흰색 회색 검정으로 맨투맨이나 후드티 좋아하거든요?
1102,- - 이 티도 남자 거야?
1104,- - 브랜드는 없고?
1106,- - 사이즈는 프리사이즈로 나오는 거예요?
1108,- - 이 마크가 일본 그쪽 마크인가 봐?
1110,- - 이 흰색에 있는 브랜드하고 이거 하고 틀리나요?
1112,- - 이거는 세일해서 얼마인데요?
1114,- - 남자애들 입을 만한 잠바 스타일이나 이런 코트 스타일
1116,- - 짧은 거 찾으세요?
1118,- - 허리 한 32 정도 입겠네요?
1120,- - 이거는 잠바로 들어가요 돋바로 들어가요?
1122,- - 후드 돋바인가?
1124,- - 사이즈는 한 사이즈 밖에 안 나와예?
1126,- - 지금 철에 입을 수 있을까요?
1128,- - 이건 얼마예요?
1130,- - 체크무늬 색상 이거 하고 또 뭐 있어요?
1132,- - 이거는 회색?
1134,- - 현금하면 할인 더 해주나요?
1136,- - 엄마 선물 해드릴거 찾는데요
1138,- - 이거 패딩이잖아? 그죠?
1140,- - 패딩인데 안에 털 있고?
1142,- - 색상은 이거 밖에 없어요?
1144,- - 이건 수박색?
1146,- - 사이즈는 얼마 입으시는데요?
1148,- - 이거는 검은색이가?
1150,- - 이거는 얼마예요?
1152,- - 다른 거 한 번 봐도 되죠?
1154,- - 이거는 얼마예요?
1156,- - 이건 사이즈가 어떻게 돼요?
1158,- - 카드 해도 돼요?
1160,- - 좀 더 깎으면 안 되나?
1162,- - 이거는 원피스예요?
1164,- - 이건 사이즈가 있나요?
1166,- - 이거 카라는 떨어지는 거구나?
1168,- - 이게 신축성이 좀 있나?
1170,- - 이거 얼마인데요?
1172,- - 이게 무릎 위까지 오나요?
1174,- - 드라이를 해야 되나?
1176,- - 저거는 스웨터식으로 나온 거예요?
1178,- - 신상으로 나온거예요?
1180,- - 신축성은 많이 없나 보네요?
1182,- - 레깅스 뒤에 한 번 볼 수 있어요? 어떤 식으로 돼있는지?
1184,- - 물세탁 해도 돼요?
1186,- - 금액이 얼마 하는데요?
1188,- - 보기보다는 비싸네
1190,- - 할인은 좀 안 해주고?
1192,- - 색상은 이거 말고 다른 것도 있어요?
1194,- - 꽃무늬 원피스 있어요?
1196,- - 벌써 나왔어요 봄 신상품이요?
1198,- - 이거 사이즈가 있어요?
1200,- - 신축성이 없네요?
1202,- - 이거는 프리사이즈로 나오는 거죠?
1204,- - 색상은 요거 한 색상이에요?
1206,- - 가격은 얼마예요?
1208,- - 가슴 있는 쪽이 좀 벌어졌네요?
1210,- - 안에 속치마는 다 있죠?
1212,- - 어른들 입을 따뜻한 거 내의 같은 거는 어디 있어요?
1213,- - 어른들 연세가 많으셔요?
1215,- - 여자분이세요? 남자분이세요?
1218,- - 가격이 얼마예요?
1220,- - 그게 너무 비싸면 이건 어때요?
1222,- - 이거랑 그거는 뭐가 달라요?
1224,- - 얼마나 입을 수 있어요?
1226,- - 이거는 한 벌에 얼마예요?
1228,- - 색상은 이게 전부예요?
1230,- - 이거 잘 나가요?
1232,- - 마스크 이건 얼마예요?
1234,- - 연세 드신 분 입으시는 내의 있나요?
1236,- - 사이즈는 얼마 보시는데요?
1239,- - 가격대는 얼마예요?
1241,- - 내복은 105 사이즈 자체가 안 나와요?
1243,- - 실내복 좀 따뜻한 걸로 다른 거는 없어요?
1245,- - 핑크색 실내복 저거는 얼마예요?
1247,- - 젊은 사람이 입는 거죠?
1249,- - 원피스 종류인거죠?
1251,- - 그건 얼마에요?
1253,- - 사이즈는 몇이에요?
1255,- - 실내복이에요?
1257,- - 못찾겠는데 어딨어요?
1259,- - 이거는 소재가 뭐에요?
